Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person,Product ID,Category,Age of Customer,Purchase Frequency (Monthly),Preferred Payment Method,Return History,Customer Loyalty Score,Active Promotional Campaign,Nombre del producto
10,6,3.2,female,600,3.1,The Moms Co.,-0.4,1100,No,spring,plains,0.5,P00930,Sports,,,,,,,Smart The Moms Co. Ball
37,17,4.7,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P00931,Furniture,,,,,,,Smart Patanjali Ayurved (Health Care) Chair
12,7,3.5,female,800,3.3,Pepperfry,-0.4,1100,No,spring,plains,0.55,P00932,Sports,,,,,,,Luxury Pepperfry Shoes
49,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,monsoon,mountains,0.95,P00933,Electronics,,,,,,,Ultra Himalaya Liv.52 Tablet
5,3,2.5,female,200,2.1,Flying Machine,-0.7,500,No,spring,plains,0.3,P00934,Electronics,,,,,,,Eco Flying Machine Laptop
33,15,4.4,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9,P00935,Sports,,,,,,,Luxury Patanjali Ayurved (Health Care) Bicycle
13,7,3.7,female,900,3.5,Pepperfry,-0.3,1200,No,spring,plains,0.6,P00936,Clothing,,,,,,,Eco Pepperfry T-Shirt
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0,P00937,Sports,,,,,,,Smart Streax Racket
7,3,2.5,female,200,2.2,Wakefit,-0.6,600,No,spring,plains,0.3,P00938,Beauty,,,,,,,Ultra Wakefit Shampoo
35,16,4.6,male,6000,4.9,Allen Solly Woman,0.95,10000,Yes,winter,mountains,0.9,P00939,Sports,,,,,,,Smart Allen Solly Woman Ball
20,10,4.0,female,1000,3.7,Khadi Essentials,-0.2,800,No,spring,plains,0.6,P00940,Electronics,,,,,,,Mega Khadi Essentials Smartwatch
38,18,4.8,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95,P00941,Health,,,,,,,Eco Fastrack Vitamin
9,5,3.2,female,600,3.0,The Moms Co.,-0.4,1100,No,spring,plains,0.5,P00942,Electronics,,,,,,,Ultra The Moms Co. Tablet
36,17,4.6,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P00943,Electronics,,,,,,,Eco Patanjali Ayurved (Health Care) Smartwatch
11,6,3.4,female,700,3.2,Pepperfry,-0.4,1200,No,spring,plains,0.55,P00944,Electronics,,,,,,,Eco Pepperfry Headphones
47,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,9000,Yes,monsoon,mountains,0.95,P00945,Health,,,,,,,Smart Himalaya Liv.52 Vitamin
6,4,2.6,female,200,2.4,Wakefit,-0.5,700,No,spring,plains,0.35,P00946,Food,,,,,,,Ultra Wakefit Candy
32,16,4.4,male,6000,4.7,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9,P00947,Furniture,,,,,,,Luxury Patanjali Ayurved (Health Care) Shelf
14,8,4.0,female,1000,3.8,Pepperfry,-0.3,1200,No,spring,plains,0.6,P00948,Sports,,,,,,,Smart Pepperfry Shoes
49,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,monsoon,mountains,0.95,P00949,Health,,,,,,,Smart Himalaya Liv.52 Supplements
5,4,2.7,female,200,2.2,Flying Machine,-0.7,500,No,spring,plains,0.3,P00950,Health,,,,,,,Pro Flying Machine Vitamin
33,16,4.5,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9,P00951,Beauty,,,,,,,Pro Patanjali Ayurved (Health Care) Lipstick
15,9,4.1,female,1000,3.8,Max,-0.2,1300,No,spring,plains,0.65,P00952,Clothing,,,,,,,Luxury Max Jacket
48,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,winter,mountains,0.95,P00953,Health,,,,,,,Smart Himalaya Liv.52 Vitamin
7,4,2.7,female,200,2.3,Wakefit,-0.5,700,No,spring,plains,0.35,P00954,Health,,,,,,,Pro Wakefit Mask
34,16,4.5,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9,P00955,Furniture,,,,,,,Luxury Patanjali Ayurved (Health Care) Shelf
16,8,3.9,female,900,3.6,Pepe Jeans London,-0.2,1000,No,spring,plains,0.6,P00956,Clothing,,,,,,,Pro Pepe Jeans London Jeans
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0,P00957,Furniture,,,,,,,Smart Streax Shelf
8,5,3.0,female,300,2.7,Flying Machine,-0.6,400,No,spring,plains,0.35,P00958,Beauty,,,,,,,Super Flying Machine Shampoo
35,17,4.6,male,7000,4.8,Allen Solly Woman,0.9,10000,Yes,winter,mountains,0.9,P00959,Electronics,,,,,,,Luxury Allen Solly Woman Headphones
21,11,4.1,female,1000,3.8,Kama Ayurveda,-0.1,800,No,spring,plains,0.6,P00960,Furniture,,,,,,,Ultra Kama Ayurveda Shelf
37,18,4.7,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P00961,Food,,,,,,,Ultra Patanjali Ayurved (Health Care) Snack
10,7,3.2,female,600,3.0,The Moms Co.,-0.4,1100,No,spring,plains,0.5,P00962,Beauty,,,,,,,Pro The Moms Co. Perfume
38,19,4.8,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95,P00963,Health,,,,,,,Eco Fastrack Bandage
12,7,3.5,female,800,3.3,Pepperfry,-0.4,1100,No,spring,plains,0.55,P00964,Electronics,,,,,,,Ultra Pepperfry Tablet
39,19,4.8,male,8000,4.7,Himalaya Liv.52,0.9,8000,Yes,winter,mountains,0.95,P00965,Furniture,,,,,,,Eco Himalaya Liv.52 Chair
6,5,2.8,female,200,2.5,Wakefit,-0.5,800,No,spring,plains,0.35,P00966,Beauty,,,,,,,Eco Wakefit Lipstick
32,17,4.5,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9,P00967,Health,,,,,,,Pro Patanjali Ayurved (Health Care) Supplements
13,8,3.6,female,900,3.4,Pepperfry,-0.3,1200,No,spring,plains,0.6,P00968,Beauty,,,,,,,Pro Pepperfry Lotion
49,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,9000,Yes,monsoon,mountains,0.95,P00969,Health,,,,,,,Luxury Himalaya Liv.52 Supplements
5,5,2.8,female,200,2.4,Flying Machine,-0.7,500,No,spring,plains,0.3,P00970,Beauty,,,,,,,Pro Flying Machine Lotion
33,17,4.5,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9,P00971,Furniture,,,,,,,Eco Patanjali Ayurved (Health Care) Bed
14,9,4.0,female,1000,3.8,Pepperfry,-0.3,1200,No,spring,plains,0.6,P00972,Clothing,,,,,,,Super Pepperfry Jacket
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0,P00973,Health,,,,,,,Luxury Streax Mask
8,6,3.0,female,300,2.8,Flying Machine,-0.6,400,No,spring,plains,0.35,P00974,Clothing,,,,,,,Super Flying Machine T-Shirt
35,18,4.6,male,7000,4.8,Allen Solly Woman,0.9,10000,Yes,winter,mountains,0.9,P00975,Clothing,,,,,,,Mega Allen Solly Woman T-Shirt
22,12,4.2,female,1000,3.9,Kama Ayurveda,-0.1,800,No,spring,plains,0.6,P00976,Beauty,,,,,,,Ultra Kama Ayurveda Lipstick
37,19,4.7,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P00977,Furniture,,,,,,,Eco Patanjali Ayurved (Health Care) Bed
11,7,3.3,female,700,3.1,Pepperfry,-0.4,1200,No,spring,plains,0.55,P00978,Sports,,,,,,,Smart Pepperfry Bicycle
38,20,4.8,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95,P00979,Clothing,,,,,,,Pro Fastrack T-Shirt
7,5,2.9,female,200,2.6,Wakefit,-0.5,800,No,spring,plains,0.35,P00980,Food,,,,,,,Pro Wakefit Candy
34,18,4.6,male,7000,4.8,Patanjali Ayurved (Health Care),0.9,7000,No,winter,mountains,0.9,P00981,Beauty,,,,,,,Mega Patanjali Ayurved (Health Care) Lotion
15,10,4.1,female,1000,3.9,Max,-0.1,1300,No,spring,plains,0.65,P00982,Food,,,,,,,Mega Max Meal
40,19,4.8,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95,P00983,Sports,,,,,,,Mega Fastrack Shoes
9,6,3.1,female,300,2.9,The Moms Co.,-0.4,1100,No,spring,plains,0.5,P00984,Clothing,,,,,,,Ultra The Moms Co. Cap
40,20,4.8,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95,P00985,Sports,,,,,,,Pro Fastrack Shoes
7,6,3.0,female,300,2.9,Wakefit,-0.4,800,No,spring,plains,0.5,P00986,Furniture,,,,,,,Mega Wakefit Bed
35,19,4.7,male,7000,4.8,Allen Solly Woman,0.9,10000,Yes,winter,mountains,0.9,P00987,Food,,,,,,,Pro Allen Solly Woman Cereal
23,13,4.3,female,1000,4.0,Kama Ayurveda,0.0,800,No,spring,plains,0.6,P00988,Furniture,,,,,,,Super Kama Ayurveda Bed
38,20,4.8,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95,P00989,Health,,,,,,,Smart Fastrack Supplements
8,7,3.1,female,300,3.0,Flying Machine,-0.6,400,No,spring,plains,0.35,P00990,Beauty,,,,,,,Eco Flying Machine Shampoo
36,18,4.7,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P00991,Electronics,,,,,,,Ultra Patanjali Ayurved (Health Care) Smartwatch
12,8,3.6,female,800,3.4,Pepperfry,-0.3,1200,No,spring,plains,0.6,P00992,Furniture,,,,,,,Eco Pepperfry Bed
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0,P00993,Furniture,,,,,,,Luxury Streax Bed
9,7,3.1,female,300,2.9,The Moms Co.,-0.4,1100,No,spring,plains,0.5,P00994,Furniture,,,,,,,Eco The Moms Co. Table
41,20,4.8,male,8000,4.7,Himalaya Liv.52,0.9,8000,Yes,monsoon,mountains,0.95,P00995,Food,,,,,,,Pro Himalaya Liv.52 Meal
7,7,3.0,female,300,2.8,Wakefit,-0.4,800,No,spring,plains,0.5,P00996,Furniture,,,,,,,Pro Wakefit Table
36,19,4.8,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P00997,Sports,,,,,,,Pro Patanjali Ayurved (Health Care) Bicycle
13,9,3.7,female,900,3.5,Pepperfry,-0.3,1200,No,spring,plains,0.6,P00998,Sports,,,,,,,Mega Pepperfry Racket
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0,P00999,Health,,,,,,,Eco Streax Supplements
10,7,3.2,female,600,3.0,The Moms Co.,-0.4,1100,No,spring,plains,0.5,P01000,Health,,,,,,,Mega The Moms Co. Mask
37,20,4.8,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9,P01001,Health,,,,,,,Smart Patanjali Ayurved (Health Care) Supplements
14,10,4.0,female,1000,3.9,Pepperfry,-0.3,1200,No,spring,plains,0.6,P01002,Clothing,,,,,,,Eco Pepperfry Jeans
20,5,4.3,female,300,4.7,Flying Machine,0.8,700,No,summer,plains,0.9,P01003,Sports,,,,,,,Luxury Flying Machine Shoes
10,2,3.8,male,1000,4.2,Max,0.6,500,Yes,winter,plains,0.6,P01004,Food,,,,,,,Super Max Juice
5,1,4.5,female,1000,3.9,Lee,0.9,900,No,monsoon,coastal,0.8,P01005,Electronics,,,,,,,Eco Lee Laptop
15,3,4.2,female,2000,4.8,Fastrack,0.7,1000,Yes,spring,mountains,0.7,P01006,Sports,,,,,,,Smart Fastrack Gloves
8,0,4.0,male,400,3.5,Wildcraft,-0.3,800,No,winter,mountains,0.3,P01007,Beauty,,,,,,,Luxury Wildcraft Shampoo
25,7,4.8,male,5000,4.9,PUMA,0.9,700,No,summer,plains,0.9,P01008,Electronics,,,,,,,Smart PUMA Phone
30,10,4.7,female,1000,4.6,HRX,0.5,400,Yes,winter,plains,0.8,P01009,Health,,,,,,,Luxury HRX Medicine
12,4,3.5,female,2000,3.4,Mothercare,-0.1,900,No,summer,coastal,0.4,P01010,Beauty,,,,,,,Smart Mothercare Perfume
40,15,4.9,male,8000,4.7,Johnson & Johnson,0.9,200,Yes,monsoon,plains,0.9,P01011,Furniture,,,,,,,Ultra Johnson & Johnson Bed
5,0,2.5,male,1000,2.8,The Moms Co.,-0.6,100,No,summer,mountains,0.1,P01012,Furniture,,,,,,,Super The Moms Co. Shelf
18,6,4.1,female,3000,4.5,Wakefit,0.8,600,Yes,winter,plains,0.7,P01013,Clothing,,,,,,,Luxury Wakefit Jacket
22,8,4.6,female,600,4.4,SleepyCat,0.4,300,Yes,spring,mountains,0.6,P01014,Beauty,,,,,,,Ultra SleepyCat Perfume
3,0,3.0,male,700,3.2,Duroflex,-0.5,1000,Yes,summer,plains,0.2,P01015,Sports,,,,,,,Mega Duroflex Ball
45,18,4.9,male,9000,4.9,Pepperfry,0.9,900,Yes,summer,coastal,1.0,P01016,Food,,,,,,,Luxury Pepperfry Candy
7,2,3.7,female,200,3.8,Godrej Interio,0.2,300,No,winter,mountains,0.5,P01017,Electronics,,,,,,,Ultra Godrej Interio Headphones
10,2,4.0,male,800,4.1,Urban Ladder,0.7,700,Yes,summer,mountains,0.8,P01018,Food,,,,,,,Mega Urban Ladder Candy
28,12,4.5,female,1500,4.6,Khadi Essentials,0.6,200,No,summer,plains,0.8,P01019,Sports,,,,,,,Luxury Khadi Essentials Ball
35,14,4.8,male,4000,4.8,Forest Essentials,0.8,500,Yes,spring,mountains,0.9,P01020,Furniture,,,,,,,Luxury Forest Essentials Bed
2,0,2.0,male,200,2.3,Kama Ayurveda,-0.9,100,No,winter,plains,0.1,P01021,Furniture,,,,,,,Pro Kama Ayurveda Table
16,5,3.9,female,500,3.7,Sugar Cosmetics,0.3,800,No,monsoon,coastal,0.5,P01022,Beauty,,,,,,,Luxury Sugar Cosmetics Perfume
6,1,3.2,male,6000,3.6,Lakme Ayurveda,-0.2,600,Yes,winter,mountains,0.4,P01023,Sports,,,,,,,Mega Lakme Ayurveda Ball
38,16,4.7,female,7000,4.7,Biovea,0.9,100,Yes,spring,plains,1.0,P01024,Clothing,,,,,,,Ultra Biovea Cap
9,3,3.6,male,900,3.3,Patanjali Ayurved (Health Care),-0.4,400,No,winter,plains,0.2,P01025,Health,,,,,,,Luxury Patanjali Ayurved (Health Care) Medicine
14,4,4.4,female,4000,4.4,Dabur Chyawanprash,0.2,800,No,summer,plains,0.7,P01026,Electronics,,,,,,,Mega Dabur Chyawanprash Tablet
21,7,4.6,female,2000,4.5,AmazonBasics,0.7,800,Yes,summer,plains,0.8,P01027,Health,,,,,,,Ultra AmazonBasics Mask
33,11,4.3,male,3000,4.2,Flying Machine,0.4,700,Yes,monsoon,coastal,0.6,P01028,Health,,,,,,,Eco Flying Machine Supplements
8,1,3.7,male,500,3.8,Max,0.3,300,No,summer,plains,0.4,P01029,Sports,,,,,,,Mega Max Gloves
11,3,4.1,female,7000,4.4,Lee,0.8,900,Yes,spring,coastal,0.9,P01030,Clothing,,,,,,,Super Lee Cap
25,8,4.8,male,10000,4.9,Spyker,0.9,600,Yes,summer,mountains,1.0,P01031,Electronics,,,,,,,Super Spyker Tablet
5,2,2.9,female,400,3.1,Fastrack,-0.5,400,No,winter,plains,0.1,P01032,Health,,,,,,,Mega Fastrack Supplements
17,6,4.5,male,2000,4.3,Wildcraft,0.6,700,Yes,summer,plains,0.8,P01033,Electronics,,,,,,,Eco Wildcraft Tablet
29,9,4.7,male,700,4.6,Head Hunters,0.7,800,Yes,summer,plains,0.8,P01034,Sports,,,,,,,Mega Head Hunters Bicycle
4,0,2.0,female,1000,2.3,PUMA,-0.8,200,No,monsoon,coastal,0.1,P01035,Health,,,,,,,Super PUMA Mask
14,4,3.9,male,3000,4.2,HRX,0.5,900,No,winter,plains,0.7,P01036,Food,,,,,,,Ultra HRX Candy
6,2,3.2,female,4000,3.5,Mothercare,0.1,500,Yes,summer,mountains,0.3,P01037,Furniture,,,,,,,Smart Mothercare Shelf
19,5,4.2,female,6000,4.7,Johnson & Johnson,0.8,1000,Yes,winter,plains,0.9,P01038,Health,,,,,,,Super Johnson & Johnson Supplements
22,10,4.4,male,1500,4.6,The Moms Co.,0.3,300,Yes,summer,coastal,0.5,P01039,Sports,,,,,,,Smart The Moms Co. Ball
12,3,3.8,female,5000,3.9,Wakefit,0.6,200,Yes,monsoon,mountains,0.7,P01040,Beauty,,,,,,,Eco Wakefit Cream
27,13,4.6,male,8000,4.8,SleepyCat,0.9,700,Yes,winter,plains,0.9,P01041,Health,,,,,,,Smart SleepyCat Vitamin
8,2,3.0,female,200,3.4,Duroflex,-0.2,600,Yes,summer,coastal,0.4,P01042,Health,,,,,,,Eco Duroflex Vitamin
36,15,4.9,male,900,4.8,Pepperfry,0.8,800,Yes,summer,mountains,0.9,P01043,Health,,,,,,,Pro Pepperfry Supplements
15,5,3.8,female,300,3.6,Godrej Interio,0.2,900,No,winter,plains,0.5,P01044,Electronics,,,,,,,Mega Godrej Interio Tablet
10,3,3.5,male,6000,3.7,Urban Ladder,0.5,400,Yes,spring,plains,0.6,P01045,Health,,,,,,,Pro Urban Ladder Medicine
24,8,4.3,female,2000,4.5,Khadi Essentials,0.7,800,Yes,summer,coastal,0.9,P01046,Electronics,,,,,,,Super Khadi Essentials Laptop
31,12,4.8,male,4000,4.7,Forest Essentials,0.9,600,Yes,summer,plains,1.0,P01047,Electronics,,,,,,,Super Forest Essentials Phone
3,1,2.5,male,300,2.7,Kama Ayurveda,-0.7,500,No,summer,mountains,0.1,P01048,Health,,,,,,,Smart Kama Ayurveda Medicine
16,4,3.6,female,8000,3.8,Sugar Cosmetics,0.1,200,Yes,winter,coastal,0.2,P01049,Sports,,,,,,,Luxury Sugar Cosmetics Shoes
9,2,3.0,male,700,3.3,Lakme Ayurveda,-0.3,100,No,summer,plains,0.2,P01050,Beauty,,,,,,,Super Lakme Ayurveda Lipstick
39,17,4.8,female,8000,4.8,Biovea,0.9,500,Yes,spring,coastal,1.0,P01051,Furniture,,,,,,,Mega Biovea Sofa
7,1,2.8,male,500,3.0,Patanjali Ayurved (Health Care),-0.6,300,No,winter,plains,0.1,P01052,Beauty,,,,,,,Mega Patanjali Ayurved (Health Care) Lipstick
20,6,4.1,female,4000,4.2,Dabur Chyawanprash,0.4,700,Yes,summer,mountains,0.7,P01053,Health,,,,,,,Ultra Dabur Chyawanprash Vitamin
23,7,4.7,female,600,4.6,AmazonBasics,0.8,400,Yes,winter,plains,0.8,P01054,Beauty,,,,,,,Eco AmazonBasics Cream
35,12,4.4,male,2000,4.3,Flying Machine,0.5,300,No,summer,coastal,0.7,P01055,Electronics,,,,,,,Smart Flying Machine Laptop
10,2,3.6,male,5000,3.8,Max,0.2,800,Yes,summer,mountains,0.5,P01056,Food,,,,,,,Super Max Juice
13,4,4.0,female,9000,4.5,Lee,0.9,600,Yes,winter,coastal,0.9,P01057,Clothing,,,,,,,Smart Lee Cap
26,9,4.8,male,10000,4.9,Spyker,0.9,900,Yes,spring,mountains,1.0,P01058,Sports,,,,,,,Super Spyker Gloves
6,1,2.8,female,300,3.0,Fastrack,-0.4,200,No,summer,plains,0.1,P01059,Health,,,,,,,Pro Fastrack Bandage
18,7,4.6,male,1500,4.4,Wildcraft,0.7,400,Yes,summer,plains,0.8,P01060,Sports,,,,,,,Pro Wildcraft Bicycle
30,10,4.5,male,800,4.6,Head Hunters,0.8,500,Yes,monsoon,plains,0.8,P01061,Beauty,,,,,,,Ultra Head Hunters Shampoo
5,0,1.8,female,1500,2.2,PUMA,-0.9,100,No,summer,coastal,0.0,P01062,Health,,,,,,,Smart PUMA Bandage
16,5,3.8,male,4000,4.1,HRX,0.4,700,Yes,summer,mountains,0.7,P01063,Food,,,,,,,Ultra HRX Snack
7,2,3.1,female,5000,3.3,Mothercare,0.1,300,Yes,winter,coastal,0.4,P01064,Furniture,,,,,,,Super Mothercare Bed
20,6,4.3,female,700,4.7,Johnson & Johnson,0.8,800,Yes,summer,plains,0.9,P01065,Health,,,,,,,Eco Johnson & Johnson Bandage
24,8,4.5,male,1000,4.7,The Moms Co.,0.4,600,Yes,winter,plains,0.6,P01066,Beauty,,,,,,,Ultra The Moms Co. Shampoo
14,4,3.9,female,6000,4.0,Wakefit,0.6,200,Yes,summer,plains,0.5,P01067,Food,,,,,,,Luxury Wakefit Meal
28,14,4.7,male,9000,4.8,SleepyCat,0.9,1000,Yes,winter,mountains,0.9,P01068,Health,,,,,,,Smart SleepyCat Vitamin
9,2,2.9,female,200,3.2,Duroflex,-0.1,500,Yes,summer,mountains,0.3,P01069,Food,,,,,,,Super Duroflex Juice
38,16,4.9,male,800,4.8,Pepperfry,0.9,900,Yes,spring,plains,1.0,P01070,Food,,,,,,,Super Pepperfry Meal
12,3,3.7,female,500,3.5,Godrej Interio,0.3,600,Yes,summer,mountains,0.6,P01071,Health,,,,,,,Super Godrej Interio Bandage
11,4,3.4,male,7000,3.6,Urban Ladder,0.6,800,Yes,winter,plains,0.8,P01072,Sports,,,,,,,Eco Urban Ladder Ball
22,7,4.2,female,2500,4.4,Khadi Essentials,0.7,700,Yes,summer,coastal,0.9,P01073,Beauty,,,,,,,Eco Khadi Essentials Lipstick
32,13,4.9,male,4500,4.7,Forest Essentials,0.9,500,Yes,summer,plains,1.0,P01074,Clothing,,,,,,,Pro Forest Essentials Jacket
4,1,2.3,male,400,2.6,Kama Ayurveda,-0.6,400,No,summer,coastal,0.2,P01075,Food,,,,,,,Pro Kama Ayurveda Cereal
15,6,3.7,female,10000,3.9,Sugar Cosmetics,0.2,300,Yes,winter,plains,0.3,P01076,Clothing,,,,,,,Ultra Sugar Cosmetics Jacket
8,3,2.8,male,600,3.1,Lakme Ayurveda,-0.4,700,Yes,summer,mountains,0.3,P01077,Furniture,,,,,,,Eco Lakme Ayurveda Bed
37,18,4.8,female,7000,4.8,Biovea,0.9,600,Yes,spring,coastal,1.0,P01078,Sports,,,,,,,Pro Biovea Shoes
6,1,2.7,male,800,2.9,Patanjali Ayurved (Health Care),-0.7,200,No,summer,plains,0.1,P01079,Health,,,,,,,Eco Patanjali Ayurved (Health Care) Medicine
19,5,4.0,female,4500,4.1,Dabur Chyawanprash,0.5,800,Yes,summer,coastal,0.7,P01080,Furniture,,,,,,,Super Dabur Chyawanprash Shelf
25,8,4.8,female,700,4.7,AmazonBasics,0.9,700,Yes,winter,plains,0.9,P01081,Beauty,,,,,,,Smart AmazonBasics Lipstick
38,13,4.5,male,2500,4.4,Flying Machine,0.6,500,Yes,summer,coastal,0.8,P01082,Sports,,,,,,,Luxury Flying Machine Racket
12,2,3.5,male,6000,3.7,Max,0.3,600,Yes,summer,mountains,0.5,P01083,Health,,,,,,,Mega Max Supplements
15,5,3.9,female,8000,4.3,Lee,0.8,300,Yes,winter,coastal,0.8,P01084,Health,,,,,,,Super Lee Medicine
28,10,4.7,male,9000,4.9,Spyker,0.9,1000,Yes,spring,mountains,1.0,P01085,Clothing,,,,,,,Pro Spyker Sneakers
7,1,2.6,female,500,2.8,Fastrack,-0.5,300,No,summer,plains,0.1,P01086,Sports,,,,,,,Ultra Fastrack Ball
21,6,4.5,male,1000,4.3,Wildcraft,0.7,500,Yes,summer,plains,0.8,P01087,Clothing,,,,,,,Smart Wildcraft Jeans
32,11,4.6,male,800,4.7,Head Hunters,0.8,400,Yes,monsoon,plains,0.8,P01088,Electronics,,,,,,,Luxury Head Hunters Laptop
4,0,1.6,female,2000,2.0,PUMA,-0.9,200,No,summer,coastal,0.0,P01089,Sports,,,,,,,Super PUMA Shoes
14,4,3.6,male,4500,3.9,HRX,0.5,800,Yes,summer,mountains,0.7,P01090,Electronics,,,,,,,Pro HRX Phone
8,2,3.0,female,6000,3.2,Mothercare,0.2,400,Yes,winter,coastal,0.4,P01091,Furniture,,,,,,,Eco Mothercare Chair
19,7,4.1,female,800,4.5,Johnson & Johnson,0.7,700,Yes,summer,plains,0.9,P01092,Furniture,,,,,,,Pro Johnson & Johnson Shelf
23,9,4.3,male,1500,4.6,The Moms Co.,0.4,500,Yes,winter,plains,0.6,P01093,Beauty,,,,,,,Eco The Moms Co. Shampoo
13,3,3.8,female,5000,3.9,Wakefit,0.6,300,Yes,summer,plains,0.5,P01094,Clothing,,,,,,,Pro Wakefit Cap
30,15,4.6,male,9500,4.8,SleepyCat,0.9,1100,Yes,winter,mountains,0.9,P01095,Food,,,,,,,Ultra SleepyCat Meal
11,1,2.7,female,100,3.0,Duroflex,-0.1,600,Yes,summer,mountains,0.3,P01096,Furniture,,,,,,,Pro Duroflex Chair
39,17,4.9,male,750,4.9,Pepperfry,0.9,1000,Yes,spring,plains,1.0,P01097,Electronics,,,,,,,Luxury Pepperfry Phone
10,3,3.4,female,400,3.6,Godrej Interio,0.3,700,Yes,summer,mountains,0.6,P01098,Electronics,,,,,,,Eco Godrej Interio Tablet
9,5,3.2,male,6500,3.4,Urban Ladder,0.6,900,Yes,winter,plains,0.8,P01099,Electronics,,,,,,,Mega Urban Ladder Tablet
25,8,4.4,female,2800,4.5,Khadi Essentials,0.8,800,Yes,summer,coastal,0.9,P01100,Sports,,,,,,,Luxury Khadi Essentials Shoes
36,14,4.8,male,4200,4.7,Forest Essentials,0.9,700,Yes,summer,plains,1.0,P01101,Furniture,,,,,,,Mega Forest Essentials Chair
3,1,2.1,male,500,2.5,Kama Ayurveda,-0.8,300,No,summer,coastal,0.1,P01102,Beauty,,,,,,,Luxury Kama Ayurveda Perfume
17,6,3.8,female,12000,3.9,Sugar Cosmetics,0.3,400,Yes,winter,plains,0.3,P01103,Clothing,,,,,,,Smart Sugar Cosmetics Cap
7,2,2.6,male,800,2.9,Lakme Ayurveda,-0.5,800,Yes,summer,mountains,0.3,P01104,Clothing,,,,,,,Ultra Lakme Ayurveda T-Shirt
40,19,4.8,female,9000,4.8,Biovea,0.9,700,Yes,spring,coastal,1.0,P01105,Beauty,,,,,,,Eco Biovea Perfume
6,1,2.5,male,700,2.8,Patanjali Ayurved (Health Care),-0.8,300,No,summer,plains,0.1,P01106,Food,,,,,,,Ultra Patanjali Ayurved (Health Care) Snack
18,6,4.0,female,5000,4.1,Dabur Chyawanprash,0.6,900,Yes,summer,coastal,0.7,P01107,Food,,,,,,,Super Dabur Chyawanprash Candy
24,9,4.9,female,800,4.8,AmazonBasics,0.9,800,Yes,winter,plains,0.9,P01108,Beauty,,,,,,,Mega AmazonBasics Lipstick
41,14,4.6,male,2700,4.5,Flying Machine,0.7,600,Yes,summer,coastal,0.8,P01109,Sports,,,,,,,Super Flying Machine Bicycle
11,2,3.4,male,7000,3.6,Max,0.4,700,Yes,summer,mountains,0.6,P01110,Furniture,,,,,,,Luxury Max Table
14,4,4.0,female,8500,4.4,Lee,0.9,400,Yes,winter,coastal,0.9,P01111,Health,,,,,,,Smart Lee Bandage
30,11,4.6,male,11000,4.8,Spyker,0.9,1200,Yes,spring,mountains,1.0,P01112,Beauty,,,,,,,Smart Spyker Perfume
8,1,2.4,female,600,2.6,Fastrack,-0.6,400,No,summer,plains,0.1,P01113,Sports,,,,,,,Pro Fastrack Racket
